,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,Hong Kong,Nepal,Hong Kong,2 wickets,Colombo (PSS),"Nov 24, 2014",T20I # 410
1,Afghanistan,Nepal,Nepal,9 runs,Chattogram,"Mar 20, 2014",T20I # 374
2,Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,"Mar 18, 2014",T20I # 371
3,Hong Kong,Nepal,Nepal,80 runs,Chattogram,"Mar 16, 2014",T20I # 367
4,Nepal,P.N.G.,P.N.G.,8 wickets,Dublin (Malahide),"Jul 17, 2015",T20I # 439
5,Hong Kong,Nepal,Hong Kong,5 wickets,Belfast,"Jul 15, 2015",T20I # 438
6,Ireland,Nepal,Ireland,8 wickets,Belfast,"Jul 13, 2015",T20I # 436
7,Netherlands,Nepal,Nepal,3 wickets,Rotterdam,"Jul 3, 2015",T20I # 427
8,Netherlands,Nepal,Netherlands,18 runs,Rotterdam,"Jul 2, 2015",T20I # 426
9,Netherlands,Nepal,Netherlands,103 runs,Amstelveen,"Jul 1, 2015",T20I # 425
10,Netherlands,Nepal,Netherlands,18 runs,Amstelveen,"Jun 30, 2015",T20I # 424
11,Nepal,Netherlands,no result,-,Lord's,"Jul 29, 2018",T20I # 691
12,Nepal,Maldives,Nepal,5 wickets,Kirtipur,"Dec 9, 2019",T20I # 1023
13,Nepal,Maldives,Nepal,84 runs,Kirtipur,"Dec 6, 2019",T20I # 1019
14,Nepal,Bhutan,Nepal,141 runs,Kirtipur,"Dec 5, 2019",T20I # 1018
15,Oman,Nepal,Oman,6 wickets,Al Amerat,"Oct 10, 2019",T20I # 928
16,Ireland,Nepal,Ireland,13 runs,Al Amerat,"Oct 9, 2019",T20I # 923
17,Nepal,Netherlands,Nepal,4 wickets,Al Amerat,"Oct 7, 2019",T20I # 920
18,Hong Kong,Nepal,Nepal,4 wickets,Al Amerat,"Oct 6, 2019",T20I # 918
19,Nepal,Zimbabwe,Zimbabwe,40 runs,Singapore,"Oct 1, 2019",T20I # 899
20,Singapore,Nepal,Nepal,9 wickets,Singapore,"Sep 28, 2019",T20I # 895
21,Nepal,Zimbabwe,Zimbabwe,5 wickets,Singapore,"Sep 27, 2019",T20I # 894
22,Singapore,Nepal,Singapore,82 runs,Singapore,"Jul 28, 2019",T20I # 840
23,Kuwait,Nepal,Nepal,7 wickets,Singapore,"Jul 27, 2019",T20I # 838
24,Malaysia,Nepal,Nepal,7 wickets,Singapore,"Jul 24, 2019",T20I # 835
25,Nepal,Qatar,Qatar,4 wickets,Singapore,"Jul 23, 2019",T20I # 834
26,Malaysia,Nepal,Nepal,6 runs,Kuala Lumpur,"Jul 14, 2019",T20I # 830
27,Malaysia,Nepal,Nepal,7 wickets,Kuala Lumpur,"Jul 13, 2019",T20I # 827
28,U.A.E.,Nepal,Nepal,14 runs,ICCA Dubai,"Feb 3, 2019",T20I # 733
29,U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,"Feb 1, 2019",T20I # 731
30,U.A.E.,Nepal,U.A.E.,21 runs,ICCA Dubai,"Jan 31, 2019",T20I # 730
31,Thailand,Nepal,Nepal,9 wickets,Bangkok,"Mar 4, 2020",T20I # 1073
32,Hong Kong,Nepal,Hong Kong,43 runs,Bangkok,"Mar 1, 2020",T20I # 1069
33,Malaysia,Nepal,Malaysia,22 runs,Bangkok,"Feb 29, 2020",T20I # 1068
34,Nepal,Netherlands,Nepal,142 runs,Kirtipur,"Apr 24, 2021",T20I # 1157
35,Nepal,Malaysia,Nepal,69 runs,Kirtipur,"Apr 22, 2021",T20I # 1155
36,Nepal,Netherlands,Netherlands,3 wickets,Kirtipur,"Apr 20, 2021",T20I # 1152
37,Nepal,Malaysia,Nepal,9 wickets,Kirtipur,"Apr 19, 2021",T20I # 1151
38,Nepal,Netherlands,Nepal,9 wickets,Kirtipur,"Apr 17, 2021",T20I # 1149
39,Kenya,Nepal,Nepal,31 runs,Nairobi (Gym),"Aug 30, 2022",T20I # 1752
40,Kenya,Nepal,Kenya,7 runs,Nairobi (Gym),"Aug 29, 2022",T20I # 1751
41,Kenya,Nepal,Nepal,4 wickets,Nairobi (Gym),"Aug 28, 2022",T20I # 1749
42,Kenya,Nepal,Kenya,18 runs,Nairobi (Gym),"Aug 26, 2022",T20I # 1747
43,Kenya,Nepal,Nepal,5 wickets,Nairobi (Gym),"Aug 25, 2022",T20I # 1746
44,Nepal,P.N.G.,Nepal,50 runs,Kirtipur,"Apr 4, 2022",T20I # 1503
45,Nepal,Malaysia,Nepal,85 runs,Kirtipur,"Apr 2, 2022",T20I # 1502
46,Nepal,P.N.G.,Nepal,37 runs,Kirtipur,"Mar 31, 2022",T20I # 1500
47,Nepal,Malaysia,Nepal,6 wickets,Kirtipur,"Mar 30, 2022",T20I # 1499
48,Nepal,P.N.G.,Nepal,15 runs,Kirtipur,"Mar 28, 2022",T20I # 1497
49,Oman,Nepal,Nepal,9 wickets,Al Amerat,"Feb 24, 2022",T20I # 1491
50,Nepal,U.A.E.,U.A.E.,68 runs,Al Amerat,"Feb 22, 2022",T20I # 1486
51,Canada,Nepal,Nepal,8 wickets,Al Amerat,"Feb 21, 2022",T20I # 1482
52,Nepal,Philippines,Nepal,136 runs,Al Amerat,"Feb 19, 2022",T20I # 1474
53,Oman,Nepal,Nepal,39 runs,Al Amerat,"Feb 18, 2022",T20I # 1469
54,Ireland,Nepal,Ireland,16 runs,Al Amerat,"Feb 14, 2022",T20I # 1465
55,Nepal,U.A.E.,U.A.E.,25 runs,Al Amerat,"Feb 12, 2022",T20I # 1460
56,Oman,Nepal,Nepal,6 wickets,Al Amerat,"Feb 11, 2022",T20I # 1459
57,Nepal,Oman,tied,-,Kirtipur,"Nov 5, 2023",T20I # 2348
58,Nepal,U.A.E.,Nepal,8 wickets,Mulpani,"Nov 3, 2023",T20I # 2347
59,Nepal,Oman,Oman,5 runs,Kirtipur,"Nov 2, 2023",T20I # 2342
60,Nepal,Malaysia,Nepal,6 wickets,Kirtipur,"Oct 31, 2023",T20I # 2340
61,Nepal,Singapore,Nepal,8 wickets,Kirtipur,"Oct 30, 2023",T20I # 2334
62,Nepal,U.A.E.,U.A.E.,4 wickets,Kirtipur,"Oct 27, 2023",T20I # 2330
63,Nepal,U.A.E.,Nepal,5 wickets,Mulpani,"Oct 23, 2023",T20I # 2326
64,Nepal,Hong Kong,Nepal,79 runs,Mulpani,"Oct 21, 2023",T20I # 2324
65,Nepal,Hong Kong,Nepal,6 wickets,Mulpani,"Oct 19, 2023",T20I # 2321
66,Nepal,U.A.E.,Nepal,7 wickets,Mulpani,"Oct 18, 2023",T20I # 2319
67,India,Nepal,India,23 runs,Hangzhou,"Oct 3, 2023",T20I # 2278
68,Maldives,Nepal,Nepal,138 runs,Hangzhou,"Oct 1, 2023",T20I # 2269
69,Mongolia,Nepal,Nepal,273 runs,Hangzhou,"Sep 27, 2023",T20I # 2255
70,Hong Kong,Nepal,Hong Kong,73 runs,Mong Kok,"Mar 9, 2024",T20I # 2507
71,Nepal,Netherlands,Netherlands,4 wickets,Kirtipur,"Mar 5, 2024",T20I # 2497
72,Nepal,Netherlands,Nepal,6 wickets,Kirtipur,"Mar 2, 2024",T20I # 2492
73,Nepal,Namibia,Nepal,3 runs,Kirtipur,"Mar 1, 2024",T20I # 2490
74,Nepal,Netherlands,Netherlands,2 runs,Kirtipur,"Feb 28, 2024",T20I # 2487
75,Nepal,Namibia,Namibia,20 runs,Kirtipur,"Feb 27, 2024",T20I # 2485
